latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,source_file
30.60529,76.43083,332.46,0.52,0.67,2024-10-31,07:05,N,nominal,2.0NRT,299.58,3.09,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.67387,76.41846,367.0,0.52,0.67,2024-10-31,07:05,N,high,2.0NRT,304.24,20.17,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.67356,76.42133,367.0,0.52,0.67,2024-10-31,07:05,N,high,2.0NRT,301.81,18.32,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.67213,76.41602,334.47,0.52,0.67,2024-10-31,07:05,N,nominal,2.0NRT,299.61,11.74,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.49311,75.70601,333.77,0.57,0.69,2024-10-31,07:05,N,nominal,2.0NRT,299.94,4.2,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.70595,76.44487,336.75,0.51,0.66,2024-10-31,07:05,N,nominal,2.0NRT,300.61,6.95,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.70454,76.43957,346.32,0.51,0.66,2024-10-31,07:05,N,nominal,2.0NRT,300.5,6.51,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.70313,76.43427,333.39,0.52,0.66,2024-10-31,07:05,N,nominal,2.0NRT,299.83,6.51,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.55102,75.4627,334.31,0.59,0.7,2024-10-31,07:05,N,nominal,2.0NRT,299.28,4.93,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.68189,75.79268,333.09,0.56,0.69,2024-10-31,07:05,N,nominal,2.0NRT,299.91,3.57,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.7594,75.16553,342.87,0.6,0.71,2024-10-31,07:05,N,nominal,2.0NRT,300.08,6.6,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.75725,75.1634,343.37,0.6,0.71,2024-10-31,07:05,N,nominal,2.0NRT,300.78,5.61,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.79642,75.2038,335.16,0.6,0.71,2024-10-31,07:05,N,nominal,2.0NRT,300.12,5.2,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.34067,75.60606,367.0,0.4,0.6,2024-10-31,08:45,N,high,2.0NRT,300.62,5.31,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.34251,75.63154,367.0,0.4,0.6,2024-10-31,08:45,N,high,2.0NRT,301.62,7.26,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.33691,75.63203,342.14,0.4,0.6,2024-10-31,08:45,N,nominal,2.0NRT,301.37,7.26,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.38336,76.48298,354.95,0.45,0.63,2024-10-31,08:45,N,nominal,2.0NRT,301.97,10.81,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.38367,76.48778,345.31,0.45,0.63,2024-10-31,08:45,N,nominal,2.0NRT,301.18,12.86,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.30782,75.46115,367.0,0.39,0.59,2024-10-31,08:45,N,high,2.0NRT,301.54,12.33,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.32088,75.80675,358.12,0.41,0.61,2024-10-31,08:45,N,nominal,2.0NRT,301.2,6.08,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
